,FORMULA,T (K),Cp (J/molK)
3422,Na2O5Si2,951.0,242.313
18,Be1I2,1000.0,87.789
4346,O4Si1Zr1,900.0,145.268
3162,O3Ti2,2700.0,156.398
1412,Br2Fe1,1100.0,98.081
352,B1H3O3,1000.0,161.921
4165,O2.96W1,300.0,72.634
2095,H2O4W1,298.0,112.633
2799,Na2S2,900.0,132.164
793,C1K1N1,1200.0,66.62899999999999
3602,F1Li1,1800.0,71.73100000000001
2047,I2Sr1,298.0,77.94800000000001
3724,Li2O5Si2,1209.0,245.55900000000003
107,Be1F2,700.0,70.793
3370,O2.90W1,500.0,86.609
1553,H3O4P1,900.0,288.361
1914,Fe1S1,1400.0,71.533
1482,Fe0.947O1,1500.0,61.212
1422,Br2Fe1,400.0,82.5
1037,Cu1O1,1900.0,62.494
3134,Nb1,2500.0,38.635
92,B2Mg1,1000.0,71.714
3124,F2Mg1,500.0,72.634
1822,Cu1F1,1500.0,64.434
3803,Mo2S3,300.0,109.489
2034,I2Sr1,1400.0,108.24
19,Be1I2,900.0,87.132
3144,Nb1,1500.0,30.062
1142,Cr2N1,600.0,79.49600000000001
2239,H1K1,1300.0,62.701
4069,O1Sr1,2000.0,63.229
4289,O4Pb2Si1,1600.0,197.903
2426,Al1Na1O2,1100.0,104.073
740,Ba1I2,2700.0,112.968
942,Cu1F2,1300.0,93.303
3585,Cu1,1000.0,28.662
2880,Al2Mg1O4,600.0,157.887
1904,Al1I3,600.0,121.986
4062,O1Sr1,2700.0,67.86399999999999
2887,N1Ti1,4100.0,81.182
2026,F2Hg2,900.0,118.951
695,Be1O4S1,298.0,85.697
1003,B1N1,1600.0,48.911
2097,Ca1S1,2900.0,61.42100000000001
2335,F1K1,800.0,57.404
3201,Ca1,350.0,26.32
4117,O2.72W1,2300.0,112.048
1382,Al1Li1O2,900.0,100.203
2127,K2O4S1,857.0,207.169
3014,Na2O1,700.0,88.851
1460,Cl2Cu1,1400.0,84.75
4569,Zr1,1200.0,33.501999999999995
3455,O5V2,600.0,168.31400000000002
712,Be1O4S1,600.0,126.817
2596,Mo1S2,2100.0,87.111
2037,I2Sr1,1100.0,99.971
2895,N1Ti1,3300.0,73.295
4523,W1,3000.0,41.003
1988,H4I1N1,800.0,117.696
2795,Mg1O3Ti1,500.0,113.123
